,Unnamed: 0,Store name,Store URL,Area,Postcode,Phone,Postcode district,Constituency Code,Index of Multiple Deprivation,Latitude,Longitude,first_party
0,0,Abergavenny,https://www.waitrose.com//content/waitrose/en/bf_home/bf/683.html,Gwent,NP79LL,0187385118,NP7,W07000054,1042.0,51.818294,-3.028245,Con
1,1,Abingdon,https://www.waitrose.com//content/waitrose/en/bf_home/bf/211.html,Oxfordshire,OX143HL,0123553500,OX14,E14000874,23835.0,51.672083,-1.2797049999999999,LD
2,2,Addlestone,https://www.waitrose.com//bf_home/bf/542.html,Surrey,KT152GL,0193282001,KT15,E14000907,11697.0,51.370886,-0.49150600000000005,Con
4,4,Alcester,https://www.waitrose.com//content/waitrose/en/bf_home/bf/474.html,Warwickshire,B495DA,0178976674,B49,E14000977,26731.0,52.216453,-1.8702439999999998,Con
5,5,Alderley Edge,http://www.waitrose.com/content/waitrose/en/bf_home/bf/560.html,AlderleyEdge,SK97JX,0162559074,SK9,E14000987,25898.0,53.302691,-2.236853,Con
6,6,Allington Park,https://www.waitrose.com//content/waitrose/en/bf_home/bf/137.html,Kent,ME160PX,0162275227,ME16,E14000804,30506.0,51.286182000000004,0.497457,Con
7,7,Alton,http://www.waitrose.com/content/waitrose/en/bf_home/bf/329.html,Hampshire,GU342PZ,0142054106,GU34,E14000680,21251.0,51.152703,-0.968082,Con
8,8,Altrincham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/494.html,Cheshire,WA145ZL,0161929780,WA14,E14000532,28820.0,53.405692,-2.364468,Con
9,9,Amersham,https://www.waitrose.com//content/waitrose/en/bf_home/bf/578.html,Buckinghamshire,HP65DR,0149443343,HP6,E14000631,32488.0,51.67757,-0.6063069999999999,Con
10,10,Ampthill,https://www.waitrose.com//content/waitrose/en/bf_home/bf/722.html,Bedfordshire,MK452LU,0152540227,MK45,E14000813,31617.0,52.032506,-0.493385,Con
11,11,Andover,https://www.waitrose.com//content/waitrose/en/bf_home/bf/168.html,Hampshire,SP101LY,0126435551,SP10,E14000857,13014.0,51.208503,-1.4812290000000001,Con
12,12,Ashbourne,https://www.waitrose.com//content/waitrose/en/bf_home/bf/316.html,Derbyshire,DE61GF,0133534894,DE6,E14000664,15219.0,53.016636,-1.733094,Con
13,13,Ashford,https://www.waitrose.com//content/waitrose/en/bf_home/bf/705.html,Kent,TN233RT,0123366008,TN23,E14000536,22066.0,51.155224,0.8564620000000001,Con
